model_version,life_stage,risk_level,need,lambda,sigma_cap,cash_min,risk_asset_max,cmd_rule,cmd_slack,floor_used,target_met,w_cash,w_bond,w_equity,w_commodity,exp_return,ann_vol,ann_var,utility,sharpe_excess_rf,status
V3,子女成年,C4,保值,2.7,0.12,0.06,0.3375,off,,,False,6,61,29,4,0.066738,0.074575,0.005561,0.05923,0.707182,optimal
V3,子女成年,C4,增值,2.7,0.12,0.06,0.45,hard,,0.07,True,6,49,31,14,0.072332,0.080772,0.006524,0.063525,0.722185,optimal
V3,子女成年,C4,传承,2.7,0.12,0.06,0.405,hard,,0.05,True,6,54,30,10,0.069914,0.077634,0.006027,0.061778,0.720228,optimal
V3,退休,C4,保值,2.7,0.1,0.12,0.225,off,,,False,12,66,22,0,0.057972,0.056638,0.003208,0.053641,0.776364,optimal
V3,退休,C4,增值,2.7,0.1,0.12,0.3,hard,,0.06,True,12,58,25,5,0.062573,0.064375,0.004144,0.056978,0.754532,optimal
V3,退休,C4,传承,2.7,0.1,0.12,0.27,hard,,0.05,True,12,61,22,5,0.059867,0.056726,0.003218,0.055523,0.808568,optimal
V3,刚毕业,C5,保值,1.8,0.16,0.03,0.70125,off,,,False,3,27,46,24,0.09012,0.12131,0.014716,0.076876,0.627484,optimal
V3,刚毕业,C5,增值,1.8,0.16,0.03,0.935,hard,,0.07,True,3,4,48,45,0.099883,0.132248,0.017489,0.084142,0.64941,optimal
V3,刚毕业,C5,传承,1.8,0.16,0.03,0.8415,hard,,0.05,True,3,13,48,36,0.096472,0.129401,0.016745,0.081402,0.637338,optimal
V3,单身青年,C5,保值,1.8,0.15,0.04,0.66,off,,,False,4,30,46,20,0.088448,0.120585,0.014541,0.075361,0.617389,optimal
V3,单身青年,C5,增值,1.8,0.15,0.04,0.88,hard,,0.07,True,4,8,48,40,0.097832,0.130633,0.017065,0.082474,0.641738,optimal
V3,单身青年,C5,传承,1.8,0.15,0.04,0.792,hard,,0.05,True,4,17,47,32,0.093898,0.125785,0.015822,0.079658,0.635197,optimal
V3,二人世界,C5,保值,1.8,0.14,0.07,0.61875,off,,,False,7,32,44,17,0.085039,0.114969,0.013218,0.073143,0.617894,optimal
V3,二人世界,C5,增值,1.8,0.14,0.07,0.825,hard,,0.07,True,7,11,47,35,0.094567,0.126704,0.016054,0.080119,0.635868,optimal
V3,二人世界,C5,传承,1.8,0.14,0.07,0.7425,hard,,0.05,True,7,19,46,28,0.091012,0.122317,0.014961,0.077547,0.62961,optimal
V3,小孩学前,C5,保值,1.8,0.14,0.1,0.53625,off,,,False,10,37,43,10,0.081016,0.111556,0.012445,0.069816,0.600738,optimal
V3,小孩学前,C5,增值,1.8,0.14,0.1,0.715,hard,,0.07,True,10,19,46,25,0.089407,0.12174,0.014821,0.076068,0.619409,optimal
V3,小孩学前,C5,传承,1.8,0.14,0.1,0.6435,hard,,0.05,True,10,26,45,19,0.086231,0.11799,0.013922,0.073701,0.612177,optimal
V3,小孩成年前,C5,保值,1.8,0.14,0.08,0.45375,off,,,False,8,47,43,2,0.078296,0.111017,0.012325,0.067204,0.579155,optimal
V3,小孩成年前,C5,增值,1.8,0.14,0.08,0.605,hard,,0.07,True,8,32,45,15,0.085027,0.117321,0.013764,0.072639,0.605409,optimal
V3,小孩成年前,C5,传承,1.8,0.14,0.08,0.5445,hard,,0.05,True,8,38,44,10,0.08223,0.114124,0.013024,0.070508,0.597859,optimal
V3,子女成年,C5,保值,1.8,0.12,0.06,0.37125,off,,,False,6,57,37,0,0.072438,0.095254,0.009073,0.064272,0.613497,optimal
V3,子女成年,C5,增值,1.8,0.12,0.06,0.495,hard,,0.07,True,6,45,43,6,0.080124,0.111139,0.012352,0.069007,0.594966,optimal
V3,子女成年,C5,传承,1.8,0.12,0.06,0.4455,hard,,0.05,True,6,50,39,5,0.076137,0.10061,0.010122,0.067027,0.617605,optimal
V3,退休,C5,保值,1.8,0.1,0.12,0.2475,off,,,False,12,64,24,0,0.059776,0.061717,0.003809,0.056348,0.741709,optimal
V3,退休,C5,增值,1.8,0.1,0.12,0.33,hard,,0.06,True,12,55,28,5,0.065279,0.072095,0.005198,0.060601,0.711274,optimal
V3,退休,C5,传承,1.8,0.1,0.12,0.297,hard,,0.05,True,12,59,24,5,0.061671,0.061816,0.003821,0.058232,0.771173,optimal
